"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 18 09:27:27 UTC 2022","Sun Sep 18 09:27:45 UTC 2022","18565","firefox","redmine.org.spec.js","redmine.org","","","Negative Test: Sign Up user with already existing data /#2",""
"passed","Sun Sep 18 09:27:20 UTC 2022","Sun Sep 18 09:27:35 UTC 2022","15183","firefox","redmine.org.spec.js","redmine.org","","","Positive Test: Sign Up with valid credentionals /#1",""
"passed","Wed Sep 21 11:09:15 UTC 2022","Wed Sep 21 11:09:25 UTC 2022","9458","chromium","redmine.org.spec.js","redmine.org","","","Positive Test: Sign Up with valid credentionals /#1",""
"passed","Wed Sep 21 11:09:25 UTC 2022","Wed Sep 21 11:09:40 UTC 2022","14940","chromium","redmine.org.spec.js","redmine.org","","","Negative Test: Sign Up user with already existing data /#2",""
"passed","Sun Sep 18 09:27:32 UTC 2022","Sun Sep 18 09:27:41 UTC 2022","9045","firefox","redmine.org.spec.js","redmine.org","","","Negative Test: Password recovery with invalid email /#4",""
"passed","Sun Sep 18 09:27:30 UTC 2022","Sun Sep 18 09:27:41 UTC 2022","10663","firefox","redmine.org.spec.js","redmine.org","","","Negative Test: Sign In Test with invalid data /#3",""
"passed","Wed Sep 21 11:09:48 UTC 2022","Wed Sep 21 11:09:55 UTC 2022","6893","chromium","redmine.org.spec.js","redmine.org","","","Negative Test: Password recovery with invalid email /#4",""
"passed","Wed Sep 21 11:09:40 UTC 2022","Wed Sep 21 11:09:48 UTC 2022","8340","chromium","redmine.org.spec.js","redmine.org","","","Negative Test: Sign In Test with invalid data /#3",""
"passed","Wed Sep 21 11:09:55 UTC 2022","Wed Sep 21 11:10:14 UTC 2022","18818","chromium","redmine.org.spec.js","redmine.org","","","Positive Test: Site search /#5",""
"passed","Sun Sep 18 09:27:33 UTC 2022","Sun Sep 18 09:27:44 UTC 2022","11835","firefox","redmine.org.spec.js","redmine.org","","","Positive Test: Site search /#5",""
